original,Stressed
academically,dem
accelerating,cel
acceleration,a
adventurers,ve
assignments,sig
atmospheric,pher
automotive,mo
circumstance,cir
collisions,li
colonization,za
combustion,bus
communicator,mu
compartment,part
comprehension,hen
comprehensive,hen
congresswoman,con
constellations,la
constitution,tu
dealerships,deal
decentralized,cen
democratization,za
dictatorship,ta
disintegration,gra
educationally,ca
electrical,lec
enrollment,roll
enrollments,roll
expeditions,di
experiments,per
exploration,ra
explorations,ra
extracurricular,ric
extraterrestrial,res
geopolitical,lit
graduation,at
horsepower,horse
individualistic,lis
industrial,dus
industrialized,dus
inflationary,fla
instructional,struc
instrumentation,ta
interdependent,pend
internationally,nat
interstellar,stel
investment,vest
jurisprudence,pru
kindergarten,kin
laboratory,lab
locomotive,mo
manipulation,la
manufacture,fac
manufacturing,fac
measurements,meas
mechanical,chan
mechanically,chan
meteorological,log
microorganisms,or
multifaceted,fac
observatory,serv
opposition,si
parliamentary,men
pedestrians,des
principals,prin
professors,fes
satellites,sat
schoolchildren,school
socialization,za
stratosphere,strat
telescopes,tel
theological,log
transmissions,mis
transportation,ta
trustworthy,trust
undergraduate,grad
undergraduates,grad
undertaking,un
university,ver
vocational,ca
windshield,wind
,
